Package	Description	Updated_Date
scarap	A toolkit for prokaryotic comparative genomics	2025-01-03
samstrip	Strip SAM files of data not needed for alignment computations.	2025-01-03
impg	impg: implicit pangenome graphs	2025-01-03
perl-bio-db-hts	Read files using HTSlib including BAM/CRAM Tabix and BCF database files	2025-01-02
mumemto	Finding maximal unique matches across pangenomes	2025-01-02
kalamari	A curated database of completed assemblies with taxonomy IDs	2025-01-02
metabuli	Metabuli: specific and sensitive metagenomic classification via joint analysis of DNA and amino acid	2025-01-02
bioconductor-mvoutdata	affy and illumina raw data for assessing outlier detector performance	2025-01-02
centrifuger	Lossless compression of microbial genomes for efficient and accurate metagenomic sequence classification.	2025-01-02
bioconductor-quasr	Quantify and Annotate Short Reads in R	2025-01-02
bioconductor-regionreport	Generate HTML or PDF reports for a set of genomic regions or DESeq2/edgeR results	2025-01-01
gridss	GRIDSS: the Genomic Rearrangement IDentification Software Suite	2025-01-01
bioconductor-genomicstate	Build and access GenomicState objects for use with derfinder tools from sources like Gencode	2025-01-01
bioconductor-karyoploter	Plot customizable linear genomes displaying arbitrary data	2025-01-01
orfquant	SaTAnn is a method that annotates and quantifies translation at the single ORF level using Ribo-seq data.	2025-01-01
bioconductor-gars	GARS: Genetic Algorithm for the identification of Robust Subsets of variables in high-dimensional and challenging datasets	2025-01-01
bioconductor-flowsorted.cordblood.450k	Illumina 450k data on sorted cord blood cells	2025-01-01
bioconductor-illuminahumanmethylation27kmanifest	Manifest for Illumina's 27k array data	2025-01-01
bioconductor-illuminahumanmethylation450kmanifest	Manifest for Illumina's 450k array data	2025-01-01
bioconductor-gmicr	Combines WGCNA and xCell readouts with bayesian network learrning to generate a Gene-Module Immune-Cell network (GMIC)	2025-01-01
bioconductor-vasp	Quantification and Visualization of Variations of Splicing in Population	2025-01-01
bioconductor-lisaclust	lisaClust: Clustering of Local Indicators of Spatial Association	2025-01-01
r-deconstructsigs	Takes sample information in the form of the fraction of mutations in each of 96 trinucleotide contexts and identifies the weighted combination of published signatures that when summed most closely reconstructs the mutational profile.	2024-12-31
bioconductor-cfdnapro	cfDNAPro extracts and Visualises biological features from whole genome sequencing data of cell-free DNA	2024-12-31
bioconductor-madseq	Mosaic Aneuploidy Detection and Quantification using Massive Parallel Sequencing Data	2024-12-31
bioconductor-traser	GWAS trait-associated SNP enrichment analyses in genomic intervals	2024-12-31
bioconductor-regionereloaded	RegioneReloaded: Multiple Association for Genomic Region Sets	2024-12-31
bioconductor-orfhunter	Predict open reading frames in nucleotide sequences	2024-12-31
bioconductor-proteodisco	Generation of customized protein variant databases from genomic variants splice-junctions and manual sequences	2024-12-31
bioconductor-cnvrd2	CNVrd2: a read depth-based method to detect and genotype complex common copy number variants from next generation sequencing data.	2024-12-31
bioconductor-mutationalpatterns	Comprehensive genome-wide analysis of mutational processes	2024-12-31
bioconductor-mungesumstats	Standardise summary statistics from GWAS	2024-12-31
bioconductor-titancna	Subclonal copy number and LOH prediction from whole genome sequencing of tumours	2024-12-31
bioconductor-igvr	igvR: integrative genomics viewer	2024-12-31
bioconductor-fcscan	fcScan for detecting clusters of coordinates with user defined options	2024-12-31
bioconductor-purecn	Copy number calling and SNV classification using targeted short read sequencing	2024-12-31
bioconductor-flowsorted.blood.epic	Illumina EPIC data on immunomagnetic sorted peripheral adult blood cells	2024-12-31
bioconductor-rnaeditr	Statistical analysis of RNA editing sites and hyper-editing regions	2024-12-31
bioconductor-gnosis	Genomics explorer using statistical and survival analysis in R	2024-12-31
bioconductor-girafe	Genome Intervals and Read Alignments for Functional Exploration	2024-12-30
t-coffee	A collection of tools for Multiple Alignments of DNA RNA Protein Sequence	2024-12-30
bioconductor-fastqcleaner	A Shiny Application for Quality Control Filtering and Trimming of FASTQ Files	2024-12-30
bioconductor-pwalign	Perform pairwise sequence alignments	2024-12-30
bioconductor-magpie	MeRIP-Seq data Analysis for Genomic Power Investigation and Evaluation	2024-12-30
bioconductor-rgreat	GREAT Analysis - Functional Enrichment on Genomic Regions	2024-12-30
bioconductor-rcgh	Comprehensive Pipeline for Analyzing and Visualizing Array-Based CGH Data	2024-12-30
bioconductor-strandcheckr	Calculate strandness information of a bam file	2024-12-30
bioconductor-proloc	A unifying bioinformatics framework for spatial proteomics	2024-12-30
bioconductor-rcistarget	RcisTarget Identify transcription factor binding motifs enriched on a list of genes or genomic regions	2024-12-30
bioconductor-doppelgangr	Identify likely duplicate samples from genomic or meta-data	2024-12-30
bioconductor-genomicplot	Plot profiles of next generation sequencing data in genomic features	2024-12-30
bioconductor-knowseq	KnowSeq R/Bioc package: The Smart Transcriptomic Pipeline	2024-12-30
r-tcga2stat	Automatically downloads and processes TCGA genomics and clinical data into a format convenient for statistical analyses in the R environment.	2024-12-30
bioconductor-nullranges	Generation of null ranges via bootstrapping or covariate matching	2024-12-30
bioconductor-plotgardener	Coordinate-Based Genomic Visualization Package for R	2024-12-30
bioconductor-plyinteractions	Extending tidy verbs to genomic interactions	2024-12-30
bioconductor-guideseq	GUIDE-seq and PEtag-seq analysis pipeline	2024-12-30
bioconductor-annotatr	Annotation of Genomic Regions to Genomic Annotations	2024-12-30
teloscope	A telomere annotation tools for genome assemblies	2024-12-30
bioconductor-bsgenome.vvinifera.urgi.iggp8x	Full reference nuclear genome sequences for Vitis vinifera subsp. vinifera PN40024 (derived from Pinot Noir and close to homozygosity after 6-9 rounds of selfing) as assembled by the IGGP (version 8X) and available at the URGI (INRA). More details in Jaillon et al (Nature 2007).	2024-12-30
bioconductor-genomation	Summary annotation and visualization of genomic data	2024-12-30
bioconductor-regioner	Association analysis of genomic regions based on permutation tests	2024-12-30
bioconductor-bsgenomeforge	Forge your own BSgenome data package	2024-12-30
bioconductor-bsgenome.mfascicularis.ncbi.6.0	Full genome sequences for Macaca fascicularis (Macaca_fascicularis_6.0)	2024-12-30
bioconductor-bsgenome.dvirilis.ensembl.dvircaf1	Full genome sequences for Drosophila virilis (assembly dvir_caf1)	2024-12-30
bioconductor-bsgenome.vvinifera.urgi.iggp12xv2	Full reference nuclear genome sequences for Vitis vinifera subsp. vinifera PN40024 (derived from Pinot Noir and close to homozygosity after 6-9 rounds of selfing) as assembled by the IGGP (version 12Xv2) and available at the URGI (INRA)	2024-12-29
bioconductor-bsgenome.ecoli.ncbi.20080805	Escherichia coli full genomes for several strains as provided by NCBI on 2008/08/05 and stored in Biostrings objects.	2024-12-29
bioconductor-bsgenome.aofficinalis.ncbi.v1	Full genome sequences for Asparagus officinalis (Garden asparagus) as provided by NCBI (Aspof.V1 Feb. 2017) and stored in Biostrings objects.	2024-12-29
bioconductor-methrix	Fast and efficient summarization of generic bedGraph files from Bisufite sequencing	2024-12-29
bioconductor-bsgenome.osativa.msu.msu7	Oryza sativa full genome (MSU7)	2024-12-29
bioconductor-bsgenome.creinhardtii.jgi.v5.6	Full genome sequences for Chlamydomonas reinhardtii (v5.6)	2024-12-29
bioconductor-bsgenome.gmax.ncbi.gmv40	Full genome sequences for Glycine max (Gmv40)	2024-12-29
bioconductor-bsgenome.cneoformansvargrubiikn99.ncbi.asm221672v1	Full Genome Sequence for Cryptococcus neoformans var. grubii KN99 (ASM221672v1)	2024-12-29
bioconductor-bsgenome.mfascicularis.ncbi.5.0	Full genome sequences for Macaca fascicularis (long-tailed macaque) as provided by NCBI (Macaca_fascicularis_5.0 2013-06-12) and stored in Biostrings objects.	2024-12-29
bioconductor-bsgenome.athaliana.tair.tair9	"Full genome sequences for Arabidopsis thaliana as provided by TAIR (TAIR9 Genome Release) and stored in Biostrings objects. Note that TAIR10 is an ""annotation release"" based on the same genome assembly as TAIR9."	2024-12-29
bioconductor-periodicdna	Set of tools to identify periodic occurrences of k-mers in DNA sequences	2024-12-29
bioconductor-bsgenome.vvinifera.urgi.iggp12xv0	Full reference nuclear genome sequences for Vitis vinifera subsp. vinifera PN40024 (derived from Pinot Noir and close to homozygosity after 6-9 rounds of selfing) as assembled by the IGGP (version 12Xv0) and available at the URGI (INRA)	2024-12-29
bioconductor-pipeframe	Pipeline framework for bioinformatics in R	2024-12-29
bioconductor-bsgenome.alyrata.jgi.v1	Arabidopsis lyrata full genome (JGI version V1.0)	2024-12-29
bioconductor-bsgenome.athaliana.tair.04232008	Full genome sequences for Arabidopsis thaliana as provided by TAIR (snapshot from April 23 2008) and stored in Biostrings objects.	2024-12-29
bioconductor-epivizrstandalone	Run Epiviz Interactive Genomic Data Visualization App within R	2024-12-29
isescan	A python pipeline to identify IS (Insertion Sequence) elements in genome and metagenome	2024-12-28
bioconductor-qpgraph	Estimation of genetic and molecular regulatory networks from high-throughput genomics data	2024-12-28
bioconductor-gmoviz	Seamless visualization of complex genomic variations in GMOs and edited cell lines	2024-12-28
bioconductor-casper	Characterization of Alternative Splicing based on Paired-End Reads	2024-12-28
bioconductor-genomicalignments	Representation and manipulation of short genomic alignments	2024-12-27
bioconductor-rfastp	An Ultra-Fast and All-in-One Fastq Preprocessor (Quality Control Adapter low quality and polyX trimming) and UMI Sequence Parsing).	2024-12-27
bioconductor-rsamtools	Binary alignment (BAM) FASTA variant call (BCF) and tabix file import	2024-12-27
bioconductor-bamsignals	Extract read count signals from bam files	2024-12-27
bioconductor-biocgraph	Graph examples and use cases in Bioinformatics	2024-12-27
bioconductor-mogsa	Multiple omics data integrative clustering and gene set analysis	2024-12-27
bioconductor-promise	PRojection Onto the Most Interesting Statistical Evidence	2024-12-27
bioconductor-bicare	Biclustering Analysis and Results Exploration	2024-12-27
bioconductor-tilingarray	Transcript mapping with high-density oligonucleotide tiling arrays	2024-12-27
bioconductor-annmap	Genome annotation and visualisation package pertaining to Affymetrix arrays and NGS analysis.	2024-12-27
bioconductor-sim	Integrated Analysis on two human genomic datasets	2024-12-27
bioconductor-fastliquidassociation	functions for genome-wide application of Liquid Association	2024-12-27
bioconductor-keggorthology	graph support for KO KEGG Orthology	2024-12-27
bioconductor-rcpi	Molecular Informatics Toolkit for Compound-Protein Interaction in Drug Discovery	2024-12-27
bioconductor-mait	Statistical Analysis of Metabolomic Data	2024-12-27
nanopack	A meta package for several long read processing and analysis tools.	2024-12-27
bioconductor-treeclimbr	An algorithm to find optimal signal levels in a tree	2024-12-27
bioconductor-microstasis	Microbiota STability ASsessment via Iterative cluStering	2024-12-27
r-motifbinner	MotifBinner processes high-throughput sequencing data of an RNA virus population.	2024-12-27
bioconductor-rgraphviz	Provides plotting capabilities for R graph objects	2024-12-27
bioconductor-basecallqc	Working with Illumina Basecalling and Demultiplexing input and output files	2024-12-27
bioconductor-graph	graph: A package to handle graph data structures	2024-12-27
bioconductor-interactionset	Base Classes for Storing Genomic Interaction Data	2024-12-27
bracken	Bracken (Bayesian Reestimation of Abundance with KrakEN) is a highly accurate statistical method that computes the abundance of species in DNA sequences from a metagenomics sample.	2024-12-27
bioconductor-wiggleplotr	Make read coverage plots from BigWig files	2024-12-26
bioconductor-plyranges	A fluent interface for manipulating GenomicRanges	2024-12-26
bioconductor-consensusseeker	Detection of consensus regions inside a group of experiences using genomic positions and genomic ranges	2024-12-26
bioconductor-chromheatmap	Heat map plotting by genome coordinate	2024-12-26
bioconductor-hicvenndiagram	Venn Diagram for genomic interaction data	2024-12-26
bioconductor-tidycoverage	Extract and aggregate genomic coverage over features of interest	2024-12-26
bioconductor-hicaggr	Set of 3D genomic interaction analysis tools	2024-12-26
bioconductor-metagene2	A package to produce metagene plots	2024-12-26
bioconductor-rarr	Read Zarr Files in R	2024-12-26
bioconductor-semdist	Information Accretion-based Function Predictor Evaluation	2024-12-26
vamb	Variational autoencoder for metagenomic binning	2024-12-26
r-basejump	Base functions for bioinformatics and R package development.	2024-12-26
r-acidplots	Functions for plotting genomic data.	2024-12-26
bioconductor-genomicozone	Delineate outstanding genomic zones of differential gene activity	2024-12-26
r-ggcoverage	The goal of 'ggcoverage' is to simplify the process of visualizing genome coverage. It contains functions to load data from BAM BigWig or BedGraph files create genome coverage plot add various annotations to the coverage plot including base and amino acid annotation GC annotation gene annotation transcript annotation ideogram annotation and peak annotation.	2024-12-26
bioconductor-pocrcannotation.db	A package containing metadata for POCRC arrays assembled using data from public repositories	2024-12-26
bioconductor-operonhumanv3.db	FHCRC Nelson Lab OperonHumanV3 Annotation Data (OperonHumanV3) assembled using data from public repositories	2024-12-26
bioconductor-ribocrypt	Interactive visualization in genomics	2024-12-26
bioconductor-lapointe.db	A package containing metadata for LAPOINTE arrays assembled using data from public repositories	2024-12-26
bioconductor-norway981.db	Norway981 http://genome-www5.stanford.edu/ Annotation Data (Norway981) assembled using data from public repositories	2024-12-26
bioconductor-huo22.db	FHCRC Genomics Shared Resource HuO22 Annotation Data (HuO22) assembled using data from public repositories	2024-12-26
bioconductor-hs6ug171.db	A package containing metadata for Hs6UG171 arrays assembled using data from public repositories	2024-12-26
bioconductor-orfik	Open Reading Frames in Genomics	2024-12-26
bioconductor-pedbarrayv9.db	FHCRC Nelson Lab pedbarrayv9 Annotation Data (pedbarrayv9) assembled using data from public repositories	2024-12-26
bioconductor-cocitestats	Different test statistics based on co-citation.	2024-12-26
bioconductor-pedbarrayv10.db	FHCRC Nelson Lab pedbarrayv10 Annotation Data (pedbarrayv10) assembled using data from public repositories	2024-12-26
bioconductor-tximeta	Transcript Quantification Import with Automatic Metadata	2024-12-26
bioconductor-shdz.db	SHDZ http://genome-www5.stanford.edu/ Annotation Data (SHDZ) assembled using data from public repositories	2024-12-26
bioconductor-ogre	Calculate visualize and analyse overlap between genomic regions	2024-12-26
bioconductor-partheenmetadata.db	PartheenMetaData http://swegene.onk.lu.se Annotation Data (PartheenMetaData) assembled using data from public repositories	2024-12-26
bioconductor-genomicinteractions	Utilities for handling genomic interaction data	2024-12-25
bioconductor-roberts2005annotation.db	Roberts2005Annotation Annotation Data (Roberts2005Annotation) assembled using data from public repositories	2024-12-25
bioconductor-ping	Probabilistic inference for Nucleosome Positioning with MNase-based or Sonicated Short-read Data	2024-12-25
bioconductor-maser	Mapping Alternative Splicing Events to pRoteins	2024-12-25
bioconductor-bsseqdata	Example whole genome bisulfite data for the bsseq package	2024-12-25
r-acidgenomes	Toolkit for downloading and processing genome annotations.	2024-12-25
bioconductor-jazaerimetadata.db	A data package containing annotation data for JazaeriMetaData assembled using data from public repositories	2024-12-25
bioconductor-ggbio	Visualization tools for genomic data	2024-12-25
bioconductor-gviz	Plotting data and annotation information along genomic coordinates	2024-12-25
bioconductor-bsgenome	Software infrastructure for efficient representation of full genomes and their SNPs	2024-12-25
bioconductor-adsplit	Annotation-Driven Clustering	2024-12-25
bioconductor-goprofiles	goProfiles: an R package for the statistical analysis of functional profiles	2024-12-25
bioconductor-mu15v1.db	FHCRC Genomics Shared Resource Mu15v1 Annotation Data (Mu15v1) assembled using data from public repositories	2024-12-25
bioconductor-mpedbarray.db	FHCRC Nelson Lab mpedbarray Annotation Data (mpedbarray) assembled using data from public repositories	2024-12-25
bioconductor-mu22v3.db	FHCRC Genomics Shared Resource Mu22v3 Annotation Data (Mu22v3) assembled using data from public repositories	2024-12-25
bioconductor-mgnifyr	R interface to EBI MGnify metagenomics resource	2024-12-25
bioconductor-curatedmetagenomicdata	Curated Metagenomic Data of the Human Microbiome	2024-12-25
bioconductor-anaquin	Statistical analysis of sequins	2024-12-25
bioconductor-pathostat	PathoStat Statistical Microbiome Analysis Package	2024-12-25
r-empiricalfdr.deseq2	Auxiliary functions for the DESeq2 package to simulate read counts according to the null hypothesis (i.e. with empirical sample size factors per-gene total counts and dispersions but without effects of predictor variables) and to compute the empirical false discovery rate.	2024-12-25
bioconductor-cdi	Clustering Deviation Index (CDI)	2024-12-24
bioconductor-epitxdb	Storing and accessing epitranscriptomic information using the AnnotationDbi interface	2024-12-24
bioconductor-recoup	An R package for the creation of complex genomic profile plots	2024-12-24
bioconductor-sitadela	An R package for the easy provision of simple but complete tab-delimited genomic annotation from a variety of sources and organisms	2024-12-24
bioconductor-crlmm	Genotype Calling (CRLMM) and Copy Number Analysis tool for Affymetrix SNP 5.0 and 6.0 and Illumina arrays	2024-12-24
bioconductor-mbpcr	Bayesian Piecewise Constant Regression for DNA copy number estimation	2024-12-24
bioconductor-genelendatabase	Lengths of mRNA transcripts for a number of genomes	2024-12-24
r-wormbase	Fetch Caenorhabditis elegans genome annotations from WormBase.	2024-12-24
r-cellosaurus	Cellosaurus identifier mapping toolkit.	2024-12-24
bioconductor-txdbmaker	Tools for making TxDb objects from genomic annotations	2024-12-24
bioconductor-genomicfeatures	Query the gene models of a given organism/assembly	2024-12-24
strangepg	Strange pangenome-scale interactive graph visualizer	2024-12-24
bioconductor-ace	Absolute Copy Number Estimation from Low-coverage Whole Genome Sequencing	2024-12-24
bioconductor-genesis	GENetic EStimation and Inference in Structured samples (GENESIS): Statistical methods for analyzing genetic data from samples with population structure and/or relatedness	2024-12-24
bioconductor-moexexonprobesetlocation	This package was automatically created by package AnnotationForge version 1.7.17. The exon-level probeset genome location was retrieved from Netaffx using AffyCompatible.	2024-12-24
bioconductor-mirbase.db	miRBase: the microRNA database assembled using data from miRBase (http://www.mirbase.org/).	2024-12-24
bioconductor-graphite	GRAPH Interaction from pathway Topological Environment	2024-12-24
unicore	Universal and efficient core gene phylogeny with Foldseek and ProstT5	2024-12-24
bioconductor-do.db	A set of annotation maps describing the entire Disease Ontology assembled using data from DO	2024-12-24
bioconductor-illuminahumanmethylation450kprobe	Probe sequences from Illumina (ftp.illumina.com) for hm450 probes	2024-12-23
captus	Captus: Assembly of Phylogenomic Datasets from High-Throughput Sequencing data	2024-12-23
bioconductor-huexexonprobesetlocationhg18	This package was automatically created by package AnnotationDbi version 1.8.0. The exon-level probeset genome location was retrieved from Netaffx using AffyCompatible. The exon-level probeset genome location was retrieved from Netaffx using AffyCompatible. Genome release hg18.	2024-12-23
bioconductor-raexexonprobesetlocation	This package was automatically created by package AnnotationForge version 1.7.17. The exon-level probeset genome location was retrieved from Netaffx using AffyCompatible.	2024-12-23
tipp	TIPPo: A User-Friendly Tool for De Novo Assembly of Organellar Genomes with HiFi Data	2024-12-23
bioconductor-pd.mapping50k.xba240	Platform Design Info for Affymetrix Mapping50K_Xba240	2024-12-23
wgdi	Whole Genome Duplication Identification	2024-12-23
bioconductor-drosgenome1probe	This package was automatically created by package AnnotationForge version 1.11.21. The probe sequence data was obtained from http://www.affymetrix.com. The file name was DrosGenome1\_probe\_tab.	2024-12-23
bioconductor-pd.genomewidesnp.5	Platform Design Info for Affymetrix GenomeWideSNP_5	2024-12-23
bioconductor-drosgenome1cdf	A package containing an environment representing the DrosGenome1.CDF file.	2024-12-23
bioconductor-pdinfobuilder	Platform Design Information Package Builder	2024-12-23
rdeval	A general purpose multithreaded read analysis and manipulation tool.	2024-12-23
treesimulator	Simulation of rooted phylogenetic trees under a given Multitype Birth–Death (MTBD) model.	2024-12-23
samshee	A schema-agnostic parser and writer for illumina sample sheets v2.	2024-12-23
bioconductor-cftools	Informatics Tools for Cell-Free DNA Study	2024-12-23
bioconductor-pfam.db	A set of protein ID mappings for PFAM	2024-12-23
bioconductor-pd.drosgenome1	Platform Design Info for The Manufacturer's Name DrosGenome1	2024-12-23
bioconductor-targetscan.hs.eg.db	TargetScan miRNA target predictions for human assembled using data from the TargetScan website. TargetScan predicts biological targets of miRNAs by searching for the presence of conserved 8mer and 7mer sites that match the seed region of each miRNA. Also identified are sites with mismatches in the seed region that are compensated by conserved 3' pairing. In mammals predictions are ranked based on the predicted efficacy of targeting as calculated using the context scores of the sites.	2024-12-23
bioconductor-pd.genomewidesnp.6	Platform Design Info for Affymetrix GenomeWideSNP_6	2024-12-23
bioconductor-cytoviewer	An interactive multi-channel image viewer for R	2024-12-22
bioconductor-pd.mapping50k.hind240	Platform Design Info for Affymetrix Mapping50K_Hind240	2024-12-22
bioconductor-huexexonprobesetlocation	This package was automatically created by package AnnotationForge version 1.7.17. The exon-level probeset genome location was retrieved from Netaffx using AffyCompatible.	2024-12-22
bioconductor-pogos	PharmacOGenomics Ontology Support	2024-12-22
bioconductor-orthology.eg.db	Orthology mapping package	2024-12-22
bioconductor-pd.mapping250k.sty	Platform Design Info for Affymetrix Mapping250K_Sty	2024-12-22
bioconductor-pd.mapping250k.nsp	Platform Design Info for Affymetrix Mapping250K_Nsp	2024-12-22
bioconductor-phyloprofile	PhyloProfile	2024-12-22
bioconductor-cytomapper	Visualization of highly multiplexed imaging data in R	2024-12-22
bioconductor-genomicscores	Infrastructure to work with genomewide position-specific scores	2024-12-22
desman	De novo Extraction of Strains from MetAgeNomes	2024-12-22
bioconductor-duoclustering2018	Data Clustering Results and Visualization Functions From Duò et al (2018)	2024-12-22
bioconductor-phyloprofiledata	Data package for phylogenetic profile analysis using PhyloProfile tool	2024-12-22
bioconductor-bumhmm	Computational pipeline for computing probability of modification from structure probing experiment data	2024-12-22
bioconductor-cellmapperdata	Pre-processed data for use with the CellMapper package	2024-12-22
bioconductor-mwastools	MWASTools: an integrated pipeline to perform metabolome-wide association studies	2024-12-22
bioconductor-struct	Statistics in R Using Class-based Templates	2024-12-22
bioconductor-ttmap	Two-Tier Mapper: a clustering tool based on topological data analysis	2024-12-22
gtdbtk	A toolkit for assigning objective taxonomic classifications to bacterial and archaeal genomes.	2024-12-22
bioconductor-stjoincount	stJoincount - Join count statistic for quantifying spatial correlation between clusters	2024-12-22
bioconductor-pharmacogx	Analysis of Large-Scale Pharmacogenomic Data	2024-12-22
bioconductor-catscradle	This package provides methods for analysing spatial transcriptomics data and for discovering gene clusters	2024-12-22
bioconductor-sigfeature	sigFeature: Significant feature selection using SVM-RFE & t-statistic	2024-12-22
bioconductor-asics	Automatic Statistical Identification in Complex Spectra	2024-12-22
bioconductor-fusesom	A Correlation Based Multiview Self Organizing Maps Clustering For IMC Datasets	2024-12-22
bioconductor-spatialcpie	Cluster analysis of Spatial Transcriptomics data	2024-12-22
bioconductor-metams	MS-based metabolomics annotation pipeline	2024-12-22
bioconductor-bioimagedbs	Bio- and biomedical imaging dataset for machine learning and deep learning (for ExperimentHub)	2024-12-22
bioconductor-lrcelltypemarkers	Marker gene information for LRcell R Bioconductor package	2024-12-22
bioconductor-biotmle	Targeted Learning with Moderated Statistics for Biomarker Discovery	2024-12-22
bioconductor-isobayes	IsoBayes: Single Isoform protein inference Method via Bayesian Analyses	2024-12-22
bioconductor-vsclust	Feature-based variance-sensitive quantitative clustering	2024-12-22
bioconductor-survclust	Identification Of Clinically Relevant Genomic Subtypes Using Outcome Weighted Learning	2024-12-22
r-alakazam	Provides methods for high-throughput adaptive immune  receptor repertoire sequencing (AIRR-Seq; Rep-Seq) analysis. In  particular immunoglobulin (Ig) sequence lineage reconstruction  lineage topology analysis diversity profiling amino acid property  analysis and gene usage. Citations:  Gupta and Vander Heiden et al (2017) <doi:10.1093/bioinformatics/btv359> Stern Yaari and Vander Heiden et al (2014) <doi:10.1126/scitranslmed.3008879>.	2024-12-22
bioconductor-beer	Bayesian Enrichment Estimation in R	2024-12-22
bioconductor-piuma	Phenotypes Identification Using Mapper from topological data Analysis	2024-12-21
bioconductor-metaboliteidmapping	Mapping of Metabolite IDs from Different Sources	2024-12-21
bioconductor-clumsid	Clustering of MS2 Spectra for Metabolite Identification	2024-12-21
bioconductor-rgenometracksdata	Demonstration Data from rGenomeTracks Package	2024-12-21
bioconductor-synapter	Label-free data analysis pipeline for optimal identification and quantitation	2024-12-21
bioconductor-siamcat	Statistical Inference of Associations between Microbial Communities And host phenoTypes	2024-12-21
pantools	PanTools is a pangenomic toolkit for comparative analysis of large numbers of genomes.	2024-12-21
cooler	Sparse binary format for genomic interaction matrices.	2024-12-21
multiqc	Create aggregate bioinformatics analysis reports across many samples and tools.	2024-12-21
bioconductor-mpranalyze	Statistical Analysis of MPRA data	2024-12-21
bioconductor-toxicogx	Analysis of Large-Scale Toxico-Genomic Data	2024-12-21
bioconductor-screencounter	Counting Reads in High-Throughput Sequencing Screens	2024-12-21
bioconductor-phenopath	Genomic trajectories with heterogeneous genetic and environmental backgrounds	2024-12-21
bioconductor-rscudo	Signature-based Clustering for Diagnostic Purposes	2024-12-21
bioconductor-mousefm	In-silico methods for genetic finemapping in inbred mice	2024-12-21
bioconductor-bioga	Bioinformatics Genetic Algorithm (BioGA)	2024-12-21
bioconductor-swath2stats	Transform and Filter SWATH Data for Statistical Packages	2024-12-21
bioconductor-repviz	Replicate oriented Visualization of a genomic region	2024-12-21
bioconductor-midashla	R package for immunogenomics data handling and association analysis	2024-12-21
bioconductor-qtlexperiment	S4 classes for QTL summary statistics and metadata	2024-12-21
bioconductor-chromplot	Global visualization tool of genomic data	2024-12-21
r-noisyr	Quantifies and removes technical noise from high-throughput sequencing data. Two approaches are used one based on the count matrix and one using the alignment BAM files directly. Contains several options for every step of the process as well as tools to quality check and assess the stability of output.	2024-12-21
bioconductor-beadarray	Quality assessment and low-level analysis for Illumina BeadArray data	2024-12-21
r-rblast	Seamlessly interfaces the Basic Local Alignment Search Tool (BLAST) to search genetic sequence data bases. This work was partially supported by grant no. R21HG005912 from the National Human Genome Research Institute.	2024-12-21
hapcut2	Tools for haplotype assembly from sequence data	2024-12-21
orthologer	Establish orthology among fasta files.	2024-12-21
kraken2	Kraken2 is a system for assigning taxonomic labels to short DNA sequences usually obtained through metagenomic studies.	2024-12-21
r-leidenbase	An R to C interface that runs the Leiden community detection algorithm to find a basic partition	2024-12-21
genomic_address_service	Genomic Address Service: De novo clustering and cluster address assignment	2024-12-20
vsearch	A versatile open source tool for metagenomics (USEARCH alternative)	2024-12-20
genenotebook	A colleborative notebook for comparative genomics	2024-12-20
bioconductor-imman	Interlog protein network reconstruction by Mapping and Mining ANalysis	2024-12-20
bioconductor-sketchr	An R interface for python subsampling/sketching algorithms	2024-12-20
bioconductor-clustirr	Clustering of immune receptor repertoires	2024-12-20
