Package_Name	Description	Updated_Date
ucsc-maforder	order components within a maf file	2024-08-27
ucsc-maftosnpbed	finds SNPs in MAF and builds a bed with their functional consequence	2024-08-27
ucsc-genepredsinglecover	create single-coverage genePred files	2024-08-27
ucsc-liftover	Move annotations from one assembly to another	2024-08-27
ucsc-featurebits	Correlate tables via bitmap projections.	2024-08-27
ucsc-bedintersect	Intersect two bed files	2024-08-27
ucsc-findmotif	find specified motif in sequence	2024-08-27
ucsc-faonerecord	Extract a single record from a .FA file	2024-08-27
ucsc-checktablecoords	check invariants on genomic coords in table(s).	2024-08-27
ucsc-maffrags	Collect MAFs from regions specified in a 6 column bed file	2024-08-27
ucsc-facmp	Compare two .fa files	2024-08-27
ucsc-mafspeciessubset	Extract a maf that just has a subset of species.	2024-08-27
ucsc-hgsqldump	Execute mysqldump using passwords from .hg.conf	2024-08-27
ucsc-checkcoveragegaps	Check for biggest gap in coverage for a list of tracks.	2024-08-27
ucsc-texthistogram	Make a histogram in ascii	2024-08-27
ucsc-crtreeindexbed	Create an index for a bed file.	2024-08-27
ucsc-oligomatch	find perfect matches in sequence.	2024-08-27
ucsc-axtsort	Sort axt files	2024-08-27
ucsc-paranodestop	Shut down parasol node daemons on a list of machines	2024-08-27
ucsc-gaptolift	create lift file from gap table(s)	2024-08-27
ucsc-pslpartition	split PSL files into non-overlapping sets	2024-08-27
ucsc-fafiltern	Get rid of sequences with too many N's	2024-08-27
ucsc-rasqlquery	Do a SQL-like query on a RA file.	2024-08-27
ucsc-bigbednameditems	Extract item of given name from bigBed	2024-08-27
ucsc-gensub2	version 12.18	2024-08-27
ucsc-genepredtomafframes	create mafFrames tables from a genePreds	2024-08-27
ucsc-wordline	chop up words by white space and output them with one	2024-08-27
ucsc-parafetch	try to fetch url with multiple connections	2024-08-27
ucsc-pslfilter	filter out psl file	2024-08-27
ucsc-farandomize	Program to create random fasta records	2024-08-27
ucsc-rmfadups	remove duplicate records in FA file	2024-08-27
ucsc-pslmap	map PSLs alignments to new targets using alignments of	2024-08-27
ucsc-subcolumn	Substitute one column in a tab-separated file.	2024-08-27
ucsc-parasol	Parasol is the name given to the overall system for managing jobs on a computer cluster and to this specific command.  This command is intended primarily for system administrators.  The 'para' command is the primary command for users.	2024-08-27
ucsc-mafgene	output protein alignments using maf and genePred	2024-08-27
ucsc-genepredfilter	filter a genePred file	2024-08-27
parascopy	Calling paralog-specific copy number and sequence variants in duplicated genes using short-read whole-genome sequencing.	2024-08-27
ngs-bits	Short-read sequencing tools	2024-08-27
r-mams	R package for Matrix and Analysis Metadata Standards.	2024-08-27
open-cravat	OpenCRAVAT - variant analysis toolkit	2024-08-26
squirrel	Some QUIck Reconstruction to Resolve Evolutionary Links	2024-08-26
lambda	Lambda is a local aligner optimized for many query sequences and searches in protein space	2024-08-26
perl-parallel-forkmanager	A simple parallel processing fork manager	2024-08-26
jclusterfunk	A command line tool with a bunch of functions for trees	2024-08-26
sccmec	A tool for typing SCCmec cassettes in assemblies	2024-08-25
camlhmp	Classification through yAML Heuristic Mapping Protocol	2024-08-25
r-mutsigextractor	Extract mutational signatures from VCF files	2024-08-24
pling	Pling computes the rearrangement distance between plasmids and clusters on their basis	2024-08-24
dfast_qc	DFAST_QC: Taxonomy and completeness check for prokaryotic genomes	2024-08-23
mess	Snakemake pipeline for simulating shotgun metagenomic samples	2024-08-23
popoolation2	PoPoolation2 allows to compare allele frequencies for SNPs between two or more populations and to identify significant differences.	2024-08-22
ppanggolin	PPanGGOLiN: Depicting microbial species diversity via a Partitioned PanGenome Graph	2024-08-22
pytximport	pytximport - gene count estimation from alignment-free quantification	2024-08-22
panfeed	Compute gene-cluster specific k-mers over a pangenome	2024-08-22
snakemake-executor-plugin-tes	A Snakemake executor plugin for submitting jobs to a GA4GH TES cluster.	2024-08-22
pathogen-embed	Create reduced dimension embeddings for pathogen sequences	2024-08-22
r-buencolors	R utility package for color mapping and plot aesthetics.	2024-08-22
cami-opal	OPAL assesses and compares the performance of taxonomic metagenome profilers.	2024-08-21
bbmix	BBMix: inference of beta-binomial mixture model	2024-08-21
gmwi2	Enhanced Health Status Prediction from Gut Microbiome Taxonomic Profiles	2024-08-21
bowtie2	A fast and sensitive gapped read aligner.	2024-08-21
vcfsim	Script for generating simulated VCF's leveraging a coalescent simulating backend.	2024-08-21
fqtk	A toolkit for working with FASTQ files.	2024-08-21
cutadapt	Trim adapters from high-throughput sequencing reads	2024-08-20
muscle	MUSCLE: multiple sequence alignment with high accuracy and high throughput	2024-08-20
resistify	A resistance gene annotation tool	2024-08-20
cloci	Co-occurrence Locus and Orthologous Cluster Identifier	2024-08-20
abritamr	Running AMRFinderPlus for MDU	2024-08-20
ska2	SKA (Split Kmer Analysis) version 2	2024-08-20
ntjoin	Genome assembly scaffolder using minimizer graphs	2024-08-20
rasusa	Randomly subsample sequencing reads or alignments	2024-08-19
alen	Simple terminal sequence alignment viewer	2024-08-19
htsbox	HTSbox is a fork of early HTSlib. It is a collection of small experimental tools manipulating HTS-related files.	2024-08-16
ntsynt	Detecting multi-genome synteny blocks using minimizer graph mapping	2024-08-16
roadies	Reference-free Orthology-free Alignment-free DIscordance aware Estimation of Species tree (ROADIES)	2024-08-15
bionumpy	Library for working with biological sequence data as numpy arrays	2024-08-15
sainsc	Segmentation-free Analysis of In Situ Capture data	2024-08-15
mgikit	mgikit is a collection of tools used to demultiplex fastq files and generate demultiplexing and quality reports.	2024-08-14
snakemake-executor-plugin-googlebatch	Snakemake executor plugin for Google Batch	2024-08-14
short-read-connector	Short read connector enables the comparisons of two read sets	2024-08-14
dsk	DSK is a k-mer counter for reads or genomes.	2024-08-14
discosnp	reference-free small variant caller for short read sequencing data	2024-08-14
vitap	Viral Taxonomic Assignment Pipeline	2024-08-14
phykit	PhyKIT is a UNIX shell toolkit for processing and analyzing phylogenomic data.	2024-08-13
sequali	Fast sequencing quality metrics	2024-08-13
sphae	Phage toolkit	2024-08-13
tcdemux	Demultiplex files and prepare reads for the target capture analysis pipeline.	2024-08-13
hyphy	An open-source software package for comparative sequence analysis using stochastic evolutionary models.	2024-08-13
minigraph	Proof-of-concept seq-to-graph mapper and graph generator	2024-08-12
sdust	Symmetric DUST for finding low-complexity regions in DNA sequences.	2024-08-12
poppunk	PopPUNK (POPulation Partitioning Using Nucleotide Kmers)	2024-08-10
pyani	pyani provides a package and script for calculation of genome-scale average nucleotide identity.	2024-08-09
bifrost	Highly parallel construction and indexing of colored and compacted de Bruijn graphs	2024-08-09
dingii	Computing the Rearrangement Distance of Natural Genomes.	2024-08-09
resfinder	ResFinder identifies acquired antimicrobial resistance genes in total or partial sequenced isolates of bacteria.	2024-08-09
rhotermpredict	RhoTermPredict (Barrick Lab Fork)	2024-08-09
ncbi-stxtyper	StxTyper identifies and types Stx operons from assembled genomic sequence.	2024-08-09
segul	An ultrafast and memory efficient tool for phylogenomics	2024-08-09
zdb	zDB is both a bacterial comparative genomics pipeline and a tool to visualize the results	2024-08-08
yak	Yet another k-mer analyzer	2024-08-08
sigprofilermatrixgenerator	SigProfiler matrix generator tool.	2024-08-08
sigprofilerplotting	SigProfiler plotting tool.	2024-08-08
hictk	Blazing fast toolkit to work with .hic and .cool files	2024-08-07
get_homologues	A versatile software package for pan-genome analysis, including GET_HOMOLOGUES and GET_HOMOLOGUES-EST	2024-08-07
bamdash	Aggregate pathogen NGS results into an interactive plot	2024-08-07
fastool	A simple and quick tool to read huge FastQ and FastA files (both normal and gzipped) and manipulate them.	2024-08-06
comparem2	CompareM2 genomes-to-report pipeline	2024-08-06
mpra-data-access-portal	Saturation mutagenesis MPRA data access portal.	2024-08-06
virheat	Visualize microbial evolution at the SNP level by creating a heatmap from vcf files.	2024-08-06
easypqp	EasyPQP: Simple library generation for OpenSWATH	2024-08-05
sdeper	Spatial Deconvolution method with Platform Effect Removal	2024-08-05
pybedlite	Lightweight python classes for interfacing with bed intervals	2024-08-05
cgranges	cgranges is a small C library for genomic interval overlap queries	2024-08-05
umi_tools	Tools for dealing with Unique Molecular Identifiers (UMIs) / Random Molecular Tags (RMTs)	2024-08-05
iqtree	Efficient phylogenomic software by maximum likelihood.	2024-08-04
sdm	sdm - simple demultiplex tool for FASTQ demultiplexing and dereplication	2024-08-02
seqnado	Pipelines for genomics analysis	2024-08-02
radtk	A collection of tools for working with RAD files.	2024-08-02
quicksect	A cythonized, extended version of the interval search tree in bx	2024-08-02
vamos	VNTR annotation using efficient motif selection	2024-08-01
sourmash	Compute and compare MinHash signatures for DNA data sets.	2024-08-01
clusty	Clusty is a tool for large-scale data clustering.	2024-07-31
genomescope2	Reference-free profiling of polyploid genomes	2024-07-31
perl-json	JSON (JavaScript Object Notation) encoder/decoder	2024-07-31
codoff	codoff: program to measure the irregularity of the codon usage for a single genomic region (e.g. a BGC, phage, etc.) relative to the full genome.	2024-07-31
perl-json-xs	JSON serialising/deserialising, done correctly and fast	2024-07-31
taxmyphage	Script to assign taxonomy to a bacteriophage at the genus and species level	2024-07-30
cellprofiler-core	Dependency for CellProfiler v4.	2024-07-30
pgscatalog.core	Core tools for working with polygenic scores (PGS) and the PGS Catalog	2024-07-29
pgscatalog.calc	Libraries and applications for working with calculated polygenic scores	2024-07-29
neodisambiguate	Disambiguate reads that were mapped to multiple references.	2024-07-28
cpstools	CPStools is a package for analyzing chloroplast genome sequences.	2024-07-27
cmat	ClinVar Mapping and Annotation Toolkit	2024-07-26
d4tools	The D4 command line utility program	2024-07-26
ntroot	Ancestry inference from genomic data	2024-07-26
deepmei	A tool to detect mobile elements insertion	2024-07-26
ntcard	Estimating k-mer coverage histogram of genomics data	2024-07-25
rcx-tk	This package adjusts and cleans the metadata file provided by a user.	2024-07-25
eskrim	ESKRIM: EStimate with K-mers the RIchness in a Microbiome	2024-07-24
narfmap	NARFMAP is a fork of the Dragen mapper/aligner Open Source Software.	2024-07-24
dnaapler	Reorients assembled microbial sequences	2024-07-24
ctxcore	Core functions for pycisTarget and the SCENIC tool suite.	2024-07-24
tides-ml	Tool for ORF-calling and ORF-classification using ML approaches	2024-07-23
bracken	Bracken (Bayesian Reestimation of Abundance with KrakEN) is a highly accurate statistical method that computes the abundance of species in DNA sequences from a metagenomics sample.	2024-07-22
splitubam	Split one ubam into multiple, per line, fast	2024-07-22
nf-test	nf-test is a simple test framework for Nextflow pipelines.	2024-07-21
ymp	Create entire NGS pipelines with one command	2024-07-19
pydna	Representing double stranded DNA and functions for simulating cloning and homologous recombination between DNA molecules.	2024-07-19
gia	Genomic Interval Arithmetic (gia)	2024-07-19
paragone	Identify ortholog groups from a set of paralog sequences from multiple taxa.	2024-07-19
isa-rwval	ISA metadata tracking tools	2024-07-18
knotinframe	Predicts -1 frameshift sites with simple pseudoknots	2024-07-18
gffcompare	GffCompare by Geo Pertea	2024-07-18
famsa	Algorithm for large-scale multiple sequence alignments	2024-07-17
kalign3	Kalign is a fast and accurate multiple sequence alignment algorithm.	2024-07-17
bowtie	An ultrafast memory-efficient short read aligner	2024-07-17
bwa	The BWA read mapper.	2024-07-17
rosella	Metagenomic binning pipeline and algorithm using UMAP and HDBSCAN	2024-07-17
proteinortho	Proteinortho is a tool to detect orthologous genes within different species.	2024-07-17
fgbio	A set of tools for working with genomic and high throughput sequencing data, including UMIs	2024-07-16
fgbio-minimal	A set of tools for working with genomic and high throughput sequencing data, including UMIs	2024-07-16
fastp	A ultra-fast FASTQ preprocessor with full features (QC/adapters/trimming/filtering/splitting...)	2024-07-16
libbigwig	A C library for handling bigWig files	2024-07-16
liftoff	An accurate GFF3/GTF lift over pipeline	2024-07-16
architeuthis	Tool to analyze and summarize data for Kraken.	2024-07-15
flumut	A tool to search for molecular markers with potential impact on the biological characteristics of Influenza A viruses of the A(H5N1) subtype.	2024-07-15
aniclustermap	A tool for drawing ANI clustermap between all-vs-all microbial genomes	2024-07-13
simpleaf	A rust framework to make using alevin-fry even simpler.	2024-07-12
nextalign	Viral genome alignment	2024-07-11
sneakernet-qc	A QC pipeline for raw reads	2024-07-11
metabuli	Metabuli: specific and sensitive metagenomic classification via joint analysis of DNA and amino acid	2024-07-11
kalign2	Kalign is a fast and accurate multiple sequence alignment algorithm designed to align large numbers of protein sequences.	2024-07-11
metaeuk	MetaEuk - sensitive, high-throughput gene discovery and annotation for large-scale eukaryotic metagenomics	2024-07-11
bedtools	A powerful toolset for genome arithmetic	2024-07-10
bioawk	BWK awk modified for biological data	2024-07-10
ipk	IPK is a tool for computing phylo-k-mers for a fixed phylogeny.	2024-07-10
pharokka	Fast Phage Annotation Program	2024-07-10
phylornn	PhyloRNN	2024-07-09
test	Test recipe, copied from the seqtk recipe	2024-07-09
cpat	Coding Potential Assessment Tool	2024-07-09
ufcg	UFCG pipeline provides methods for a genome-wide taxonomic profiling and annotation of your own biological sequences of Fungi.	2024-07-08
crispector2	Accurate estimation of off-target editing activity from comparative NGS data	2024-07-08
lollipop	A tool for Deconvolution for Wastewater Genomics	2024-07-06
syny	Genome collinearity inferences	2024-07-06
harmonypy	A data integration algorithm.	2024-07-05
submission-excel2xml	Generate DRA metadata XML files from Excel spreadsheet	2024-07-05
sambamba	Tools for working with SAM/BAM data	2024-07-04
metasnv	SNV calling software	2024-07-04
survivor	Toolset for SV simulation, comparison and filtering	2024-07-03
varcode	Variant annotation in Python	2024-07-03
viroconstrictor	ViroConstrictor is a flexible pipeline for analysis of targeted viral sequencing data	2024-07-03
svist4get	A simple visualization tool for genomic tracks from sequencing experiments	2024-07-03
neat	Toolset for generating synthethic FASTQ, VCF and BAM files.	2024-07-03
bwakit	A self-consistent installation-free package of scripts and precompiled binaries, providing an end-to-end solution to read mapping	2024-07-02
umi-transfer	A tool for transferring Unique Molecular Identifiers (UMIs) from a separate FastQ file.	2024-07-02
stranger	Annotate VCF files with str variants	2024-07-02
krbalancing	This is a c++ extension for python which computes K.R. balanced matrices.	2024-07-01
expansionhunter	A tool for estimating repeat sizes	2024-07-01
alignoth	A tool for creating alignment plots from bam files	2024-07-01
srprism	SRPRISM - Short Read Alignment Tool	2024-06-28
tetrimmer	TETrimmer is designed to replace and assist TE manual curation.	2024-06-28
plink2	Whole genome association analysis toolset	2024-06-28
freyja	Freyja recovers relative lineage abundances from mixed SARS-CoV-2 samples and provides functionality to analyze lineage dynamics.	2024-06-28
bohra	Pipeline for analysing Illumina data for microbiological public health.	2024-06-28
piper	A lightweight python toolkit for gluing together restartable, robust command line pipelines	2024-06-28
strobealign	Align short reads using dynamic seed size with strobemers	2024-06-27
wiggletools	The WiggleTools package allows genomewide data files to be manipulated as numerical functions, equipped with all the standard functional analysis operators (sum, product, product by a scalar, comparators), and derived statistics (mean, median, variance, stddev, t-test, Wilcoxon's rank sum test, etc).	2024-06-27
phables	Phables: from fragmented assemblies to high-quality bacteriophage genomes	2024-06-27
treeswift	TreeSwift: Fast tree module for Python 2 and 3	2024-06-26
idba	IDBA-UD is a iterative De Bruijn Graph De Novo Assembler for Short Reads Sequencing data with Highly Uneven Sequencing Depth.	2024-06-26
metaphor	Metaphor - Metagenomic Pipeline for Short Reads	2024-06-26
snap-aligner	Scalable Nucleotide Alignment Program -- a fast and accurate read aligner for high-throughput sequencing data	2024-06-25
vcfbub	Popping bubbles in vg deconstruct VCFs	2024-06-24
mason	Mason is a collection of tools for the simulation of biological sequences.	2024-06-24
genomedata	Tools for accessing large amounts of genomic data	2024-06-21
covtobed	covtobed - generate a BED file of covered regions from a BAM file	2024-06-21
groot	A tool for resistome profiling of metagenomic samples.	2024-06-20
metabat2	Metagenome binning	2024-06-20
sickle-trim	Windowed Adaptive Trimming for fastq files using quality	2024-06-19
alignlib-lite	Simple wrapper around alignlib C++ library for sequence alignment	2024-06-18
seqverify	Seqverify analyzes whole genome sequencing data for gene-editing verification.	2024-06-18
fraggenescan	FragGeneScan is an application for finding (fragmented) genes in short reads.	2024-06-18
reneo	Reneo: Unraveling Viral Genomes from Metagenomes	2024-06-18
pyplink	Python module to read binary Plink files.	2024-06-17
snp-sites	Finds SNP sites from a multi-FASTA alignment file.	2024-06-17
mgkit	Metagenomics Framework	2024-06-14
bamread	Read bam files quickly into dataframes in Python	2024-06-14
phispy	Prophage finder using multiple metrics	2024-06-14
tcfinder	A lightweight tool to find clusters of samples within a phylogeny.	2024-06-14
velvet	Sequence Assembler for short reads	2024-06-14
centrifuge	Classifier for metagenomic sequences.	2024-06-14
pegasusio	PegasusIO is the IO package for Pegasus.	2024-06-13
moments	Evolutionary inference using SFS and LD statistics.	2024-06-13
pydna_repeatfinder	Search for direct and inverted repeats in DNA sequences.	2024-06-13
fastsimbac	Models bacterial recombination	2024-06-13
metagraph	Ultra Scalable Framework for DNA Search, Alignment, Assembly	2024-06-13
ngsderive	Backwards derive attributes from NGS data	2024-06-13
encode-blacklist	The ENCODE Blacklist: Identification of Problematic Regions of the Genome	2024-06-13
stare-abc	Calculate Gene-TF affinities via enhancer-gene interactions	2024-06-13
gatb	The Genome Analysis Toolbox with de-Bruijn graph	2024-06-13
flexiplex	flexiplex: the flexible demultiplexer	2024-06-13
humid	HUMID -- High-performance UMI Deduplicator	2024-06-13
gsalign	GSAlign: an ultra-fast sequence alignment tool	2024-06-13
jcvi	Python utility libraries on genome assembly, annotation, and comparative genomics	2024-06-13
genoboo	A collaborative notebook for comparative genomics (active fork of GeneNoteBook)	2024-06-13
smaca	smaca is a python tool to detect putative SMA carriers and estimate the absolute SMN1 copy-number in a population.	2024-06-12
pcaone	PCAone - Principal Component Analysis All in One	2024-06-12
genometools-genometools	GenomeTools genome analysis system.	2024-06-12
howdesbt	Sequence Bloom Tree, supporting determined/how split filters	2024-06-12
rlpipes	A standardized R-loop-mapping pipeline	2024-06-12
pyranges	Performant Pythonic GenomicRanges	2024-06-12
mykrobe	Antibiotic resistance prediction in minutes	2024-06-11
bioconductor-musicatk	Mutational Signature Comprehensive Analysis Toolkit	2024-06-11
fermi2	Fermi2 focuses on the exploration of FMD-index as a graph.	2024-06-11
ropebwt2	Incremental construction of FM-index for DNA sequences	2024-06-11
razers3	RazerS 3 - Faster, fully sensitive read mapping	2024-06-11
elprep	elPrep is a high-performance tool for preparing .sam/.bam files for variant calling in sequencing pipelines. It can be used as a drop-in replacement for SAMtools/Picard/GATK4.	2024-06-11
htseq	HTSeq is a Python library to facilitate processing and analysis of data from high-throughput sequencing (HTS) experiments.	2024-06-11
bwapy	Bwapy provides python wrappers for bwa.	2024-06-11
ffgc	Family Free Genome Comparison (FFGC) workflow	2024-06-10
vtools	Various tools operating over VCF files. Uses cyvcf2 and cython under the hood for speed	2024-06-09
phanotate	Phanotate gene caller for phages	2024-06-09
dsh-bio	Tools for BED, FASTA, FASTQ, GAF, GFA1/2, GFF3, PAF, SAM, and VCF files	2024-06-09
atropos	trim adapters from high-throughput sequencing reads	2024-06-09
pb-falcon	FALCON/Unzip tool-suite (originally by Jason Chin)	2024-06-09
smncopynumbercaller	Call copy number of SMN1, SMN2, and SMN2Δ7–8 from a BAM file.	2024-06-09
rmats2sashimiplot	rmats2sashimiplot	2024-06-09
hatchet	A package to infer allele and clone-specific copy-number aberrations (CNAs).	2024-06-09
taxpasta	TAXonomic Profile Aggregation and STAndardisation	2024-06-08
contatester	Compute the Allelic Balance of a sample from a VCF file.	2024-06-08
lofreq	A fast and sensitive variant-caller for inferring SNVs and indels from next-generation sequencing data	2024-06-08
scalpel	Sensitive detection of INDELs (INsertions and DELetions)	2024-06-08
cnvnator	Tool for calling copy number variations.	2024-06-08
alfred	BAM alignment statistics, feature counting and feature annotation	2024-06-08
samsum	A light-weight python package for summarizing sequence coverage from SAM and BAM files	2024-06-08
glimpse-bio	GLIMPSE is a phasing and imputation method for large-scale low-coverage sequencing studies.	2024-06-08
hmnrandomread	A sequence-read simulator program for NGS	2024-06-08
emboss	The European Molecular Biology Open Software Suite	2024-06-07
extract-sv-reads	Tool for extracting splitter or discordant reads from a BAM or CRAM file.	2024-06-07
